noWeights,primeWeights,twoWeights,tenWeights,,,,,,
2,86,34,176,,,,,,
2,88,34,180,,,,,,
2,90,34,180,,,,,,
2,90,34,180,,,,,,
2,92,35,180,,,,,,
2,92,35,182,,,,,,
2,92,36,188,,,,,,
2,92,36,188,,,,,,
2,92,36,188,,,,,,
2,92,36,190,,,,,,
2,92,36,190,,,,,,
2,92,36,190,,,,,,
2,94,36,190,,,,,,
2,94,36,190,,,,,,
2,96,36,190,,,,,,
2,96,38,190,,,,,,
2,100,40,190,,,,,,
2,100,40,192,,,,,,
2,100,40,196,,,,,,
2,100,40,200,,,,,,
2,100,40,204,,,,,,
2,100,42,204,,,,,,
2,100,43,204,,,,,,
2,100,44,204,,,,,,
2,100,44,204,,,,,,
2,100,44,204,,,,,,
2,100,44,204,,,,,,
2,104,44,204,,,,,,
2,104,46,204,,,,,,
2,104,47,204,,,,,,
2,104,48,204,,,,,,
2,104,48,208,,,,,,
2,104,48,210,,,,,,
2,104,48,210,,,,,,
2,104,48,216,,,,,,
2,106,48,218,,,,,,
2,107,50,218,,,,,,
2,108,50,218,,,,,,
2,108,50,218,,,,,,
2,108,50,220,,,,,,
3,108,52,228,,,,,,
3,108,52,228,,,,,,
3,111,52,230,,,,,,
3,112,52,232,,,,,,
3,116,52,240,,,,,,
3,116,52,242,,,,,,
3,116,52,246,,,,,,
3,116,52,246,,,,,,
3,116,52,246,,,,,,
3,116,52,248,,,,,,
3,120,52,248,,,,,,
3,125,52,250,,,,,,
3,125,52,252,,,,,,
3,125,52,252,,,,,,
3,125,52,252,,,,,,
3,128,52,252,,,,,,
3,128,54,252,,,,,,
3,128,54,264,,,,,,
3,128,55,268,,,,,,
3,128,56,270,,,,,,
3,128,56,270,,,,,,
3,128,56,272,,,,,,
3,128,56,276,,,,,,
3,128,56,284,,,,,,
3,132,56,284,,,,,,
4,133,56,284,,,,,,
4,136,56,288,,,,,,
4,138,56,292,,,,,,
4,138,58,292,,,,,,
4,138,60,296,,,,,,
4,138,60,296,,,,,,
4,138,60,296,,,,,,
4,138,60,296,,,,,,
4,138,60,296,,,,,,
4,138,60,296,,,,,,
4,138,62,300,,,,,,
4,138,62,302,,,,,,
4,138,62,308,,,,,,
4,142,64,308,,,,,,
4,142,64,308,,,,,,
4,142,64,308,,,,,,
4,143,66,308,,,,,,
4,144,66,308,,,,,,
4,148,66,308,,,,,,
4,156,66,308,,,,,,
4,156,66,308,,,,,,
4,156,66,308,,,,,,
4,158,66,317,,,,,,
4,159,66,318,,,,,,
4,160,66,320,,,,,,
4,168,72,320,,,,,,
4,184,72,324,,,,,,
4,184,72,328,,,,,,
4,187,72,342,,,,,,
4,192,72,342,,,,,,
4,192,72,352,,,,,,
4,192,72,352,,,,,,
4,194,72,352,,,,,,
4,195,72,360,,,,,,
4,196,72,360,,,,,,
4,200,72,360,,,,,,
4,200,74,370,,,,,,
4,200,74,372,,,,,,
4,200,74,372,,,,,,
4,200,75,374,,,,,,
4,200,76,382,,,,,,
4,200,78,382,,,,,,
4,207,78,384,,,,,,
4,208,80,389,,,,,,
4,208,82,389,,,,,,
4,208,89,389,,,,,,
4,208,94,389,,,,,,
4,208,96,390,,,,,,
4,208,96,394,,,,,,
4,208,96,400,,,,,,
4,208,97,408,,,,,,
4,208,100,420,,,,,,
4,208,100,444,,,,,,
4,208,102,456,,,,,,
5,212,104,466,,,,,,
5,231,104,472,,,,,,
5,231,104,474,,,,,,
5,231,104,492,,,,,,
5,231,104,498,,,,,,
5,244,104,498,,,,,,
6,248,108,498,,,,,,
6,252,108,539,,,,,,
6,252,108,540,,,,,,
6,253,108,555,,,,,,
6,276,108,572,,,,,,
6,284,108,580,,,,,,
6,285,108,660,,,,,,
6,288,108,660,,,,,,
6,288,108,660,,,,,,
6,288,108,660,,,,,,
6,288,108,660,,,,,,
6,302,112,675,,,,,,
6,306,113,695,,,,,,
6,320,113,743,,,,,,
6,332,113,756,,,,,,
6,346,113,765,,,,,,
6,356,117,914,,,,,,
6,388,118,920,,,,,,
6,388,132,951,,,,,,
6,388,136,992,,,,,,
6,388,142,1004,,,,,,
6,388,142,1010,,,,,,
6,408,142,1011,,,,,,
6,419,144,1065,,,,,,
6,424,148,1068,,,,,,
6,426,148,1073,,,,,,
6,440,153,1084,,,,,,
6,469,156,1089,,,,,,
6,472,167,1104,,,,,,
8,486,167,1142,,,,,,
8,493,172,1186,,,,,,
8,496,173,1406,,,,,,
8,497,180,1495,,,,,,
8,513,188,1545,,,,,,
8,544,190,1561,,,,,,
8,552,192,1609,,,,,,
8,566,193,1620,,,,,,
8,580,196,1620,,,,,,
8,580,196,1761,,,,,,
8,628,196,1778,,,,,,
8,646,196,1780,,,,,,
8,654,196,1802,,,,,,
8,657,201,1805,,,,,,
8,660,206,1808,,,,,,
8,706,206,1814,,,,,,
8,732,246,1850,,,,,,
8,807,252,1856,,,,,,
8,810,255,1866,,,,,,
8,814,261,1990,,,,,,
8,824,264,2011,,,,,,
8,824,267,2023,,,,,,
9,825,272,2038,,,,,,
9,827,286,2180,,,,,,
9,842,286,2210,,,,,,
9,842,286,2374,,,,,,
10,842,286,2540,,,,,,
10,842,286,2546,,,,,,
10,842,294,2548,,,,,,
10,844,314,2562,,,,,,
10,861,314,2564,,,,,,
10,871,315,2564,,,,,,
10,894,317,2564,,,,,,
10,902,319,2564,,,,,,
12,914,319,2564,,,,,,
12,967,320,2632,,,,,,
12,973,323,2676,,,,,,
12,985,324,2694,,,,,,
12,1010,336,2746,,,,,,
12,1025,336,2769,,,,,,
12,1025,338,2844,,,,,,
12,1062,340,2928,,,,,,
12,1087,341,3015,,,,,,
12,1111,344,3015,,,,,,
12,1122,348,3056,,,,,,
12,1126,353,3412,,,,,,
12,1138,353,3659,,,,,,
12,1200,355,3746,,,,,,
12,1365,370,3788,,,,,,
12,1438,377,3858,,,,,,
12,1500,377,4022,,,,,,
12,1506,393,4028,,,,,,
12,1538,442,4030,,,,,,
12,1543,445,4032,,,,,,
12,1552,450,4034,,,,,,
12,1556,451,4040,,,,,,
12,1558,492,4040,,,,,,
12,1560,512,4048,,,,,,
12,1560,514,4074,,,,,,
12,1596,516,4094,,,,,,
12,1602,544,4094,,,,,,
17,1604,557,4096,,,,,,
17,1606,570,4366,,,,,,
20,1614,572,4626,,,,,,
20,1636,574,4858,,,,,,
20,1708,574,4858,,,,,,
21,1714,590,6094,,,,,,
22,1714,590,6104,,,,,,
22,1755,592,6104,,,,,,
23,1870,592,6104,,,,,,
24,1884,596,6106,,,,,,
24,1884,596,6107,,,,,,
24,1884,596,6130,,,,,,
27,1886,601,6131,,,,,,
28,2330,612,6135,,,,,,
28,2330,619,6137,,,,,,
28,2513,768,6139,,,,,,
28,2513,784,6147,,,,,,
28,2513,792,6705,,,,,,
29,2515,792,7023,,,,,,
29,2532,792,7091,,,,,,
29,2532,838,7165,,,,,,
29,2537,838,7226,,,,,,
29,2538,917,7259,,,,,,
29,2539,943,7301,,,,,,
32,2541,943,7309,,,,,,
36,2602,944,7315,,,,,,
38,2813,944,7322,,,,,,
41,2885,953,7347,,,,,,
42,2904,954,8686,,,,,,
45,2907,956,8714,,,,,,
46,2958,957,9187,,,,,,
47,2959,957,9296,,,,,,
47,2989,957,9432,,,,,,
48,2990,997,9525,,,,,,
49,2992,1020,9922,,,,,,
50,3002,1026,9922,,,,,,
50,3010,1027,9924,,,,,,
50,3021,1075,9926,,,,,,
50,3028,1086,9926,,,,,,
54,3206,1096,9928,,,,,,
54,3235,1097,9928,,,,,,
54,3235,1109,9930,,,,,,
54,3640,1120,9932,,,,,,
54,3732,1131,9932,,,,,,
54,3750,1133,11266,,,,,,
54,4062,1133,11612,,,,,,
54,4064,1174,15877,,,,,,
54,4064,1312,16267,,,,,,
54,4066,1360,16328,,,,,,
54,4066,1532,18305,,,,,,
64,4066,1532,18463,,,,,,
68,4068,1534,18466,,,,,,
76,4068,1534,19162,,,,,,
98,4068,1534,20408,,,,,,
100,4068,1534,22854,,,,,,
100,4541,1534,26858,,,,,,
100,4838,1534,26860,,,,,,
110,5124,1534,27226,,,,,,
136,5126,1534,27234,,,,,,
174,5331,1803,29706,,,,,,
192,8133,2343,34748,,,,,,
551,12611,3921,46662,,,,,,
